x,y,Class
continuous,continuous,C1 C2
,,class
0.851311580169851,0.9542159102452499,C1
0.776164050330893,0.8644563600043994,C1
0.7851648485105935,0.8477997286113562,C1
0.8153248105846225,0.8233701788025135,C1
0.8759379946949543,0.7730719785230253,C1
0.8453434714021238,0.8905869655967404,C1
0.8109522720133231,0.8012188029459367,C1
0.8669720035933044,0.8939436062463035,C1
0.8664257970166328,0.8493107073150756,C1
0.7793163167052917,0.8386170689154332,C1
0.8308230785283427,0.9240816915963727,C1
0.84261748623744,0.8010471297820887,C1
0.8302501231504629,0.7113290117224157,C1
0.8636050574759702,0.7897402106486587,C1
0.8843127695573625,0.7463445370978687,C1
0.848799100802404,0.7910475573629908,C1
0.8621523366224791,0.822417676826881,C1
0.7907681622791652,0.8584253799496516,C1
0.7446504589305885,0.7753679275712761,C1
0.8418955979723874,0.7747077427254069,C1
0.7912152049608444,0.7652334404094846,C1
0.8360186576524009,0.7812927362093384,C1
0.8102526225225792,0.7993545759275553,C1
0.7982105990499729,0.8283678407592259,C1
0.8256888978636062,0.8346580126880231,C1
0.7926293308530438,0.8847890309731141,C1
0.7477992294097632,0.8039266696195365,C1
0.7287429828526789,0.7547307090790524,C1
0.8006042041649256,0.7970635995679665,C1
0.8023384026138631,0.6852738043814992,C1
0.831537944194749,0.781457412586956,C1
0.7247990077803605,0.759568438806372,C1
0.8232142758227514,0.8722793979351632,C1
0.7298944114760976,0.841559863080576,C1
0.7566475884955102,0.8834393146473495,C1
0.8262171572142272,0.7897171043059407,C1
0.8096392231888591,0.8766133595810374,C1
0.791003519901532,0.6910220227648679,C1
0.7947804979771841,0.8045307086467787,C1
0.8053325243865401,0.7516117638149734,C1
0.8381325996005315,0.7532621404967096,C1
0.8777162913210628,0.7721028402700911,C1
0.7805541797178769,0.8759211557726524,C1
0.8372531455196568,0.7891026312525251,C1
0.773801067539853,0.7636412718586966,C1
0.7654905878443202,0.7771252376415124,C1
0.7683200807363288,0.754949204694731,C1
0.7896901728285939,0.7274877614759784,C1
0.7803129351531114,0.600812638701585,C1
0.727345715530932,0.7141670490185044,C1
0.8222320154345661,0.7372526074942948,C1
0.7893965939996378,0.7980587800165498,C1
0.7710083870879105,0.7480667466327192,C1
0.7844562700288504,0.7990289112658978,C1
0.7488543879651802,0.731773341944163,C1
0.7572993002346075,0.7278389890543056,C1
0.7745684641062519,0.6757577397031079,C1
0.7988272151901501,0.6634727165294918,C1
0.7759021229394872,0.7655617639356038,C1
0.8042471322974303,0.7653899737702766,C1
0.7552997783633608,0.7664148162800396,C1
0.7499981810989391,0.7374773088746485,C1
0.710971512570031,0.6823831126502187,C1
0.7970294277805697,0.7075392846099852,C1
0.8726270276989375,0.7092229639490626,C1
0.8562176574573224,0.7475774810144045,C1
0.7360531973448108,0.7372309755373874,C1
0.8322036627840969,0.7137877839489456,C1
0.7759013658794209,0.8258438148571902,C1
0.7533092343642713,0.759377912925055,C1
0.7819338220837294,0.6871367140605626,C1
0.7440387010732393,0.7358881839718857,C1
0.7669953666397361,0.7636245761380381,C1
0.15409318820326268,0.3013220574370838,C2
0.1126462875605986,0.15125046520754468,C2
0.21463082944251768,0.19726327685673417,C2
0.2590403697838129,0.17968941585472412,C2
0.23465097206131058,0.27440505555871847,C2
0.2591862655900971,0.24561071390261385,C2
0.23307588139188365,0.35662779841200554,C2
0.1896504589564588,0.2483664847118778,C2
0.16139574398888965,0.2242152763515541,C2
0.17293000282896498,0.169110069586054,C2
0.25092332565460435,0.30566279372934113,C2
0.19454788836587036,0.26286098898118426,C2
0.23048885432724772,0.2427244353658493,C2
0.17367158122360785,0.2596560466040496,C2
0.17644752636484629,0.2996978420678097,C2
0.2107412639230448,0.24731453832209802,C2
0.2154707857573817,0.22806191182818691,C2
0.19386950938824052,0.3119337583611203,C2
0.2638881298684424,0.2720311324527901,C2
0.18409804912028113,0.25446294064442265,C2
0.17480078193680262,0.3043390104139563,C2
0.1931372128328393,0.2942463864016622,C2
0.2118659290667397,0.2550561859810589,C2
0.24775384486699326,0.2812654992668466,C2
0.10444592682531166,0.23317761467024095,C2
0.168706846411984,0.19986602448525412,C2
0.2276570167487487,0.24307397859985308,C2
0.23269327347860375,0.21147638756613085,C2
0.2381658039092631,0.3120965150395713,C2
0.25898754704541904,0.31661085341151074,C2
0.25339553725943215,0.404286909490946,C2
0.29234687731155323,0.33322406446405173,C2
0.2637141576095237,0.38387819752786007,C2
0.12336518709033814,0.4058800621481911,C2
0.19759362942964342,0.3608339416330764,C2
0.09686481056325925,0.24848768213789008,C2
0.12853160468878705,0.22385850382055045,C2
0.14229231068946072,0.21323854114474936,C2
0.11959011310481285,0.21913016430463125,C2
